Package,License,Repository,LicenseFile
magic-string@0.30.17,MIT,https://github.com/rich-harris/magic-string,C:\Users\user\dev\lifeGame_0\node_modules\magic-string\LICENSE
merge2@1.4.1,MIT,https://github.com/teambition/merge2,C:\Users\user\dev\lifeGame_0\node_modules\merge2\LICENSE
micromatch@4.0.8,MIT,https://github.com/micromatch/micromatch,C:\Users\user\dev\lifeGame_0\node_modules\micromatch\LICENSE
minimatch@3.1.2,ISC,https://github.com/isaacs/minimatch,C:\Users\user\dev\lifeGame_0\node_modules\minimatch\LICENSE
minimatch@9.0.5,ISC,https://github.com/isaacs/minimatch,C:\Users\user\dev\lifeGame_0\node_modules\@typescript-eslint\typescript-estree\node_modules\minimatch\LICENSE
minimist@1.2.8,MIT,https://github.com/minimistjs/minimist,C:\Users\user\dev\lifeGame_0\node_modules\minimist\LICENSE
mkdirp@0.5.6,MIT,https://github.com/substack/node-mkdirp,C:\Users\user\dev\lifeGame_0\node_modules\mkdirp\LICENSE
ms@2.1.3,MIT,https://github.com/vercel/ms,C:\Users\user\dev\lifeGame_0\node_modules\ms\license.md
nanoid@3.3.11,MIT,https://github.com/ai/nanoid,C:\Users\user\dev\lifeGame_0\node_modules\nanoid\LICENSE
natural-compare@1.4.0,MIT,https://github.com/litejs/natural-compare-lite,C:\Users\user\dev\lifeGame_0\node_modules\natural-compare\README.md
nopt@4.0.3,ISC,https://github.com/npm/nopt,C:\Users\user\dev\lifeGame_0\node_modules\nopt\LICENSE
normalize-package-data@2.5.0,BSD-2-Clause,https://github.com/npm/normalize-package-data,C:\Users\user\dev\lifeGame_0\node_modules\normalize-package-data\LICENSE
npm-normalize-package-bin@1.0.1,ISC,https://github.com/npm/npm-normalize-package-bin,C:\Users\user\dev\lifeGame_0\node_modules\npm-normalize-package-bin\LICENSE
once@1.4.0,ISC,https://github.com/isaacs/once,C:\Users\user\dev\lifeGame_0\node_modules\once\LICENSE
optionator@0.9.4,MIT,https://github.com/gkz/optionator,C:\Users\user\dev\lifeGame_0\node_modules\optionator\LICENSE
os-homedir@1.0.2,MIT,https://github.com/sindresorhus/os-homedir,C:\Users\user\dev\lifeGame_0\node_modules\os-homedir\license
os-tmpdir@1.0.2,MIT,https://github.com/sindresorhus/os-tmpdir,C:\Users\user\dev\lifeGame_0\node_modules\os-tmpdir\license
osenv@0.1.5,ISC,https://github.com/npm/osenv,C:\Users\user\dev\lifeGame_0\node_modules\osenv\LICENSE
p-limit@3.1.0,MIT,https://github.com/sindresorhus/p-limit,C:\Users\user\dev\lifeGame_0\node_modules\p-limit\license
p-locate@5.0.0,MIT,https://github.com/sindresorhus/p-locate,C:\Users\user\dev\lifeGame_0\node_modules\p-locate\license
parent-module@1.0.1,MIT,https://github.com/sindresorhus/parent-module,C:\Users\user\dev\lifeGame_0\node_modules\parent-module\license
path-exists@4.0.0,MIT,https://github.com/sindresorhus/path-exists,C:\Users\user\dev\lifeGame_0\node_modules\path-exists\license
path-is-absolute@1.0.1,MIT,https://github.com/sindresorhus/path-is-absolute,C:\Users\user\dev\lifeGame_0\node_modules\path-is-absolute\license
path-key@3.1.1,MIT,https://github.com/sindresorhus/path-key,C:\Users\user\dev\lifeGame_0\node_modules\path-key\license
path-parse@1.0.7,MIT,https://github.com/jbgutierrez/path-parse,C:\Users\user\dev\lifeGame_0\node_modules\path-parse\LICENSE
pathe@2.0.3,MIT,https://github.com/unjs/pathe,C:\Users\user\dev\lifeGame_0\node_modules\pathe\LICENSE
pathval@2.0.0,MIT,https://github.com/chaijs/pathval,C:\Users\user\dev\lifeGame_0\node_modules\pathval\LICENSE
picocolors@1.1.1,ISC,https://github.com/alexeyraspopov/picocolors,C:\Users\user\dev\lifeGame_0\node_modules\picocolors\LICENSE
picomatch@2.3.1,MIT,https://github.com/micromatch/picomatch,C:\Users\user\dev\lifeGame_0\node_modules\picomatch\LICENSE
picomatch@4.0.2,MIT,https://github.com/micromatch/picomatch,C:\Users\user\dev\lifeGame_0\node_modules\tinyglobby\node_modules\picomatch\LICENSE
postcss@8.5.3,MIT,https://github.com/postcss/postcss,C:\Users\user\dev\lifeGame_0\node_modules\postcss\LICENSE
prelude-ls@1.2.1,MIT,https://github.com/gkz/prelude-ls,C:\Users\user\dev\lifeGame_0\node_modules\prelude-ls\LICENSE
punycode@2.3.1,MIT,https://github.com/mathiasbynens/punycode.js,C:\Users\user\dev\lifeGame_0\node_modules\punycode\LICENSE-MIT.txt
queue-microtask@1.2.3,MIT,https://github.com/feross/queue-microtask,C:\Users\user\dev\lifeGame_0\node_modules\queue-microtask\LICENSE
react-dom@19.1.0,MIT,https://github.com/facebook/react,C:\Users\user\dev\lifeGame_0\node_modules\react-dom\LICENSE
react@19.1.0,MIT,https://github.com/facebook/react,C:\Users\user\dev\lifeGame_0\node_modules\react\LICENSE
read-installed@4.0.3,ISC,https://github.com/isaacs/read-installed,C:\Users\user\dev\lifeGame_0\node_modules\read-installed\LICENSE
read-package-json@2.1.2,ISC,https://github.com/npm/read-package-json,C:\Users\user\dev\lifeGame_0\node_modules\read-package-json\LICENSE
readdir-scoped-modules@1.1.0,ISC,https://github.com/npm/readdir-scoped-modules,C:\Users\user\dev\lifeGame_0\node_modules\readdir-scoped-modules\LICENSE
resolve-from@4.0.0,MIT,https://github.com/sindresorhus/resolve-from,C:\Users\user\dev\lifeGame_0\node_modules\resolve-from\license
resolve@1.22.10,MIT,https://github.com/browserify/resolve,C:\Users\user\dev\lifeGame_0\node_modules\resolve\LICENSE
reusify@1.1.0,MIT,https://github.com/mcollina/reusify,C:\Users\user\dev\lifeGame_0\node_modules\reusify\LICENSE
rollup@4.40.0,MIT,https://github.com/rollup/rollup,C:\Users\user\dev\lifeGame_0\node_modules\rollup\LICENSE.md
run-parallel@1.2.0,MIT,https://github.com/feross/run-parallel,C:\Users\user\dev\lifeGame_0\node_modules\run-parallel\LICENSE
scheduler@0.26.0,MIT,https://github.com/facebook/react,C:\Users\user\dev\lifeGame_0\node_modules\scheduler\LICENSE
semver@5.7.2,ISC,https://github.com/npm/node-semver,C:\Users\user\dev\lifeGame_0\node_modules\normalize-package-data\node_modules\semver\LICENSE
semver@7.7.1,ISC,https://github.com/npm/node-semver,C:\Users\user\dev\lifeGame_0\node_modules\semver\LICENSE
shebang-command@2.0.0,MIT,https://github.com/kevva/shebang-command,C:\Users\user\dev\lifeGame_0\node_modules\shebang-command\license
shebang-regex@3.0.0,MIT,https://github.com/sindresorhus/shebang-regex,C:\Users\user\dev\lifeGame_0\node_modules\shebang-regex\license
siginfo@2.0.0,ISC,https://github.com/emilbayes/siginfo,C:\Users\user\dev\lifeGame_0\node_modules\siginfo\LICENSE
